id,order,expected_json
0,"Lemme get one tall Strawberry Smoothie include caramel drizzle - remove uh that. Next, I need a like venti drip coffee and extra hot. Oh, and add three trenta chai latte include Sugar Free Vanilla... scratch that one Sugar Free Vanilla. caramel drizzle and make sure no whip. Oh, and add double short mochas.","{""items"": [{""name"": ""Drip Coffee"", ""size"": ""Venti"", ""quantity"": 1, ""modifiers"": [""Extra Hot""]}, {""name"": ""Chai Latte"", ""size"": ""Trenta"", ""quantity"": 3, ""modifiers"": [""Caramel Drizzle"", ""No Whip""]}, {""name"": ""Mocha"", ""size"": ""Short"", ""quantity"": 2, ""modifiers"": []}], ""total_price"": 32.75}"
1,"I'd like to order single trenta espresso add oat milk, paired with a tall actually earl grey tea. Oh, and add couple of tall Cold literally Brew with breve.","{""items"": [{""name"": ""Espresso"", ""size"": ""Trenta"", ""quantity"": 1, ""modifiers"": [""Oat Milk""]}, {""name"": ""Earl Grey Tea"", ""size"": ""Tall"", ""quantity"": 1, ""modifiers"": []}, {""name"": ""Cold Brew"", ""size"": ""Tall"", ""quantity"": 2, ""modifiers"": [""Breve""]}], ""total_price"": 18.4}"
2,Could I have single trenta mocha plus peppermint syrup.,"{""items"": [{""name"": ""Mocha"", ""size"": ""Trenta"", ""quantity"": 1, ""modifiers"": [""Peppermint Syrup""]}], ""total_price"": 7.0}"
3,Grab me four avocado toasts.,"{""items"": [{""name"": ""Avocado Toast"", ""size"": null, ""quantity"": 4, ""modifiers"": []}], ""total_price"": 28.0}"
4,I'm craving couple of VENTI frappe (mocha)s include Caramel Drizzle.,"{""items"": [{""name"": ""Frappe (Mocha)"", ""size"": ""Venti"", ""quantity"": 2, ""modifiers"": [""Caramel Drizzle""]}], ""total_price"": 14.5}"
5,"Start me off with couple of Short FRAPPE (MOCHA)s include LIGHT ICE add CARAMEL SYRUP. Then give me a venti cold brew add breve, wait cancel that breve. coconut milk plus Hazelnut Syrup... wait cancel that Hazelnut Syrup... soy milk add almond milk. Also a Tall iced coffee.","{""items"": [{""name"": ""Frappe (Mocha)"", ""size"": ""Short"", ""quantity"": 2, ""modifiers"": [""Light Ice"", ""Caramel Syrup""]}, {""name"": ""Cold Brew"", ""size"": ""Venti"", ""quantity"": 1, ""modifiers"": [""Coconut Milk"", ""Soy Milk"", ""Almond Milk""]}, {""name"": ""Iced Coffee"", ""size"": ""Tall"", ""quantity"": 1, ""modifiers"": []}], ""total_price"": 21.65}"
6,"Gimme single BUTTER actually CROISSANT. no, make it four. Also single trenta green tea and single blueberry muffin - actually nevermind.","{""items"": [{""name"": ""Butter Croissant"", ""size"": null, ""quantity"": 4, ""modifiers"": []}, {""name"": ""Green Tea"", ""size"": ""Trenta"", ""quantity"": 1, ""modifiers"": []}], ""total_price"": 18.5}"
7,"Hit me with pair of TALL chai lattes, plus five venti frappe (mocha) plus cold foam and single short matcha latte and triple venti earl like grey teas.","{""items"": [{""name"": ""Chai Latte"", ""size"": ""Tall"", ""quantity"": 2, ""modifiers"": []}, {""name"": ""Frappe (Mocha)"", ""size"": ""Venti"", ""quantity"": 5, ""modifiers"": [""Cold Foam""]}, {""name"": ""Matcha Latte"", ""size"": ""Short"", ""quantity"": 1, ""modifiers"": []}, {""name"": ""Earl Grey Tea"", ""size"": ""Venti"", ""quantity"": 3, ""modifiers"": []}], ""total_price"": 66.25}"
8,May I get a short literally chai latte with Hazelnut Syrup.,"{""items"": [{""name"": ""Chai Latte"", ""size"": ""Short"", ""quantity"": 1, ""modifiers"": [""Hazelnut Syrup""]}], ""total_price"": 4.75}"
9,"Could you get me a Bagel. Oh, and add one TALL Latte plus um vanilla syrup. remove that vanilla syrup. Extra Shot. Also single bagel.","{""items"": [{""name"": ""Bagel"", ""size"": null, ""quantity"": 2, ""modifiers"": []}, {""name"": ""Latte"", ""size"": ""Tall"", ""quantity"": 1, ""modifiers"": [""Extra Shot""]}], ""total_price"": 10.5}"
